日期,時間,活動名稱,地點,主講人,主持人,類型,備註,詳細內容
2026-02-05,11:30 - 12:20,泰國BL走向國際——泰國耽美BL名家MTRD.S × Cali對談活動,泰國主題國館,MTRD.S， Cali， editor,,講座,A special dialogue featuring a...,A special dialogue featuring acclaimed Thai BL author MTRD.S and Cali， discussing their works as well as the globalization and screen adaptation of BL literature.
2026-02-05,11:45 - 12:45,聽見，被遺忘的記憶：《我的奶奶，總是聽見奇怪的聲音》人權繪本創作分享,藍沙龍,溫皮Warmpy (林昕慧),,沙龍講座,《我的奶奶，總是聽見奇怪的聲音》以鮮明對比，呈現世代之間對於...,《我的奶奶，總是聽見奇怪的聲音》以鮮明對比，呈現世代之間對於聲音的不同感受，帶領讀者走進戒嚴時期的生活狀態。作者溫皮使用藍色系表示奶奶的記憶，以橘黃亮色系呈現小男孩的世界，塑造強烈對比的色調氛圍，搭配簡潔圖像，凸顯孩子與奶奶對聲音截然不同的反應，牽引出那個年代深藏於日常裡的壓抑與不安。每一道聲響，都是一段藏在時間縫隙裡的記憶，也是通往歷史真相與情感深處的關鍵。她認為歷史雖已過去，仍必須回頭理解，透過生活體驗勾起世代間對彼此的好奇心，並且追溯下去，這便是轉型正義的所在。
2026-02-05,11:45 - 12:45,線條說故事：印度瓦利藝術工作坊,兒童沙龍,游​媁婷,,沙龍講座,本工作坊以印度瓦利藝術為靈感，參與者將運用觀察力與想像力，透...,本工作坊以印度瓦利藝術為靈感，參與者將運用觀察力與想像力，透過簡單線條與幾何圖形，引導孩子創作故事圖卡。活動鼓勵孩子培養創造力與結構化思維，無需繪畫經驗，在輕鬆氛圍中專注表達，並享受故事構思的樂趣。 Inspired by India's Warli art， this workshop invites children to explore storytelling through simple lines and geometric shapes. Participants will transform everyday life or short tales into visual narratives， nurturing observation， imagination， and structured thinking. No prior drawing experience is required. The session offers a welcoming space for creative expression， where children can freely enjoy the process of shaping their own stories.
2026-02-05,11:45 - 12:45,《大交流：伍秉鑑的怡和行與十九世紀的全球貿易》作者王迪安新書發表會,國際沙龍,王迪安 (作者),,沙龍講座,在《大交流：伍秉鑑的怡和行與十九世紀的全球貿易》中，王迪安通...,在《大交流：伍秉鑑的怡和行與十九世紀的全球貿易》中，王迪安通過清代十三行行商伍秉鑑的視角，探討了廣州體制下的貿易網絡如何塑造現代商業世界。當時，伍秉鑑的貿易網絡和金融聯繫從中國延伸至印度、美國和英國。這一時期的中國商人往往被視為西方重商主義崛起與中國抑商傳統觀念的受害者，但伍秉鑑並非如此。他早在西方世界秩序確立前的跨國交流中，就成功地在自身商業利益與中國及西方同行的利益之間取得了複雜的平衡。當今的政治勢力不斷相互制衡，以西方為中心的世界體系越來越難以維持，國際商人動態需適應一個中國再次佔據舞台中心的新世界秩序。伍秉鑑的怡和行在十九世紀早期流動的背景下成功部署商業網絡，對我們來說仍然饒有啟示。 王迪安是香港大學文學院副院長及香港人文社會研究所教授，研究興趣是跨國企業史。
2026-02-05,11:45 - 12:45,文化部青年創作獎勵暨國際駐村分享講座,黃沙龍2F,青年創作者及國際駐村創作家,,沙龍講座,-,-
2026-02-05,11:45 - 12:45,Impossible Paradise──詩人與譯者的對談,紅沙龍,陳育虹、George O'Connell、Diana Shi、許勝吉,,沙龍講座,邀請陳育虹、George O'Connell、Diana S...,邀請陳育虹、George O'Connell、Diana Shi、許勝吉交流對談。
2026-02-05,13:00 - 14:00,嚴肅題材如何說好故事？談人權繪本的虛實與情感邊界,藍沙龍,藍蘭、黃一文,,沙龍講座,本場講座邀請兩位繪本創作者，從各自的創作經驗出發，對談人權題...,本場講座邀請兩位繪本創作者，從各自的創作經驗出發，對談人權題材在繪本中的轉譯與虛實。當題材源自真實、歷史或集體記憶，創作者如何選擇敘事的距離？哪些地方忠於現實，哪些時刻又必須透過虛構，才能讓故事成立、情感被理解？ 透過創作者之間的對話，本場講座將一同思考，面對嚴肅的創作題材時，如何透過繪本節奏、敘事安排與細膩的情緒，為讀者留下思考與感受的空間。
2026-02-05,13:00 - 14:00,從波隆那插畫展入選到繪本出版，什麼都記得,紅沙龍,張筱琦、BALLBOSS（周宜賢）,,沙龍講座,每年一度波隆納童書展是童書界的盛事，其中插畫展是從事插畫工作...,每年一度波隆納童書展是童書界的盛事，其中插畫展是從事插畫工作者夢想中重要的入門磚。從五張圖的創作，一直到整本書籍的創作，到底是經歷怎麼樣的努力與煎熬，最終才能熬製一本繪本的誕生？ 張筱琦、球老闆Ballboss兩位作品都曾入選波隆納童書展，究竟風格迥異的兩位是如何準備作品，構想作品，以至於能受到國際評審的青睞。以及在後來創作整本書籍時，又是經歷了哪些過程，到出版多本大受歡迎的作品。透過本講座，希望可以取鏡兩位重要經歷，分享他們在創作過程中的所思所想，與出版社的合作又有哪些「眉角」需要留意，帶給有志從插畫進階到出版書籍的新秀，或是對書籍內容好奇的讀者有更多理解的進路。
2026-02-05,13:00 - 14:00,比利時南方出版社編輯—繪本出版世界探索,國際沙龍,Fanny DESCHAMPS,,沙龍講座,以出版歷史、旅遊、音樂及漫畫等圖書為主的獨立出版社Versa...,以出版歷史、旅遊、音樂及漫畫等圖書為主的獨立出版社Versant Sud（南方出版社），於2016年設立了童書部門，以提供才華洋溢的年輕人更多創作機會，並給予兒童高品質的讀物，讓孩童從小就能接受藝術的薰陶。旗下有許多得獎的比利時繪本作家這次我們邀請到比利時南方出版社的編輯來跟我們分享在比利時繪本出版的種種歷程。
2026-02-05,13:00 - 14:00,來自瑞典的魔法故事:互動式兒童故事時光,兒童沙龍,陳文芬,,沙龍講座,本場互動式兒童沙龍透過瑞典故事分享與創意活動，帶領孩子認識瑞...,本場互動式兒童沙龍透過瑞典故事分享與創意活動，帶領孩子認識瑞典文學與故事的魅力。活動適合兒童、親子觀眾及學校團體參與，透過輕鬆有趣的方式，啟發孩子的想像力、好奇心與閱讀興趣，並認識瑞典的兒童文學世界。
2026-02-05,13:00 - 14:00,文字、圖像與史實：一部漫畫的共創之旅,黃沙龍2F,鸚鵡洲、黑狗、鄧湘怡,,沙龍講座,國家漫畫博物館籌備處預計今年推出「國漫館限定」創作漫畫套書，...,國家漫畫博物館籌備處預計今年推出「國漫館限定」創作漫畫套書，辦理以「轉譯．共創」為主軸之講座，作為出版前的精彩鋪墊。
2026-02-05,13:00 - 14:20,從民間傳說到小說,泰國主題國館,Prasertsak Padmarid， Kanokwalee Pojanapakorn,,講座,Folklore to Fiction 從民間傳說到小說 T...,Folklore to Fiction 從民間傳說到小說 This is a discussion with writers on the topic of local wisdom and local narratives that have been transformed into fiction in the form of novels， the short story Weaving Wound (Ki Bad :กี่บาด)， and the short story The Naga’s Lament (Nakha Rong Hai : นาคาร้องไห้). The writers will also demonstrate the use of a hand loom.
2026-02-05,13:30 - 14:30,文化部青年創作獎勵暨國際駐村分享講座,直播室,青年創作者及國際駐村創作家,,直播活動,,
2026-02-05,14:15 - 15:15,SeeMi 達克比科學探案所：天氣謎團大解謎首映會暨達克比見面會！,兒童沙龍,達克比人偶、Doremi姐姐、甜兒姐姐,,沙龍講座,達克比全新系列動畫首次大銀幕亮相！邀請您一起化身小小科學家，...,達克比全新系列動畫首次大銀幕亮相！邀請您一起化身小小科學家，深入天氣背後的奧秘。現場獨家解謎互動，啟發孩子的好奇心與邏輯力！
